date,open,close,high,low,volume,code
2016-07-27,6.038,5.709,6.038,5.58,266577.0,600300
2016-07-28,5.68,5.57,5.709,5.44,238427.0,600300
2016-07-29,5.57,5.57,5.64,5.54,73202.0,600300
2016-08-01,5.56,5.45,5.56,5.361,102779.0,600300
2016-08-02,5.42,5.48,5.49,5.391,71991.0,600300
2016-08-03,5.49,5.48,5.5,5.43,71687.0,600300
2016-08-04,5.48,5.46,5.48,5.351,123861.0,600300
2016-08-05,5.45,5.47,5.51,5.42,71496.0,600300
2016-08-08,5.47,5.68,5.709,5.47,147452.0,600300
2016-08-09,5.64,5.64,5.68,5.61,67597.0,600300
2016-08-10,5.64,5.62,5.66,5.59,61141.0,600300
2016-08-11,5.64,5.53,5.64,5.52,68542.0,600300
2016-08-12,5.5,5.57,5.57,5.48,52104.0,600300
2016-08-15,5.55,5.66,5.719,5.53,131604.0,600300
2016-08-16,5.68,5.67,5.719,5.62,97123.0,600300
2016-08-17,5.66,5.66,5.699,5.63,61462.0,600300
2016-08-18,5.67,5.67,5.709,5.64,110442.0,600300
2016-08-19,5.689,5.67,5.699,5.61,66258.0,600300
2016-08-22,5.689,5.689,5.829,5.65,143973.0,600300
2016-08-23,5.68,5.699,5.719,5.66,73097.0,600300
2016-08-24,5.689,5.689,5.709,5.63,61374.0,600300
2016-08-25,5.63,5.729,5.749,5.6,114736.0,600300
2016-08-26,5.729,5.689,5.819,5.68,104086.0,600300
2016-08-29,5.719,5.779,5.789,5.689,105821.0,600300
2016-08-30,5.779,5.759,5.809,5.759,72341.0,600300
2016-08-31,5.739,5.749,5.799,5.689,52965.0,600300
2016-09-01,5.739,5.759,5.799,5.719,74400.0,600300
2016-09-02,5.739,5.819,5.829,5.719,67359.0,600300
2016-09-05,5.959,6.058,6.257,5.909,379845.0,600300
2016-09-06,6.008,6.048,6.058,5.889,186940.0,600300
2016-09-07,5.998,5.968,6.098,5.949,116017.0,600300
2016-09-08,5.988,5.968,6.018,5.909,69078.0,600300
2016-09-09,5.959,5.978,6.078,5.919,103543.0,600300
2016-09-12,5.929,5.759,5.929,5.739,103680.0,600300
2016-09-13,5.759,5.769,5.829,5.719,53692.0,600300
2016-09-14,5.739,5.709,5.739,5.65,60677.0,600300
2016-09-19,5.699,5.829,5.859,5.699,64747.0,600300
2016-09-20,5.819,5.799,5.879,5.789,48890.0,600300
2016-09-21,5.799,5.859,5.919,5.779,71344.0,600300
2016-09-22,5.909,5.909,5.968,5.889,65247.0,600300
2016-09-23,5.909,5.959,6.008,5.899,91796.0,600300
2016-09-26,5.968,5.789,5.968,5.749,96952.0,600300
2016-09-27,5.759,5.819,5.819,5.729,44851.0,600300
2016-09-28,5.859,5.829,5.929,5.809,77187.0,600300
2016-09-29,5.829,5.819,5.879,5.809,48628.0,600300
2016-09-30,5.849,5.809,5.889,5.789,55913.0,600300
2016-10-10,5.839,5.949,5.998,5.819,125718.0,600300
2016-10-11,5.939,6.008,6.038,5.919,137873.0,600300
2016-10-12,5.978,6.088,6.118,5.968,169328.0,600300
2016-10-13,6.088,6.098,6.118,6.018,102248.0,600300
2016-10-14,6.068,6.068,6.128,6.028,83355.0,600300
2016-10-17,6.128,6.058,6.128,6.028,119253.0,600300
2016-10-18,6.058,6.098,6.108,6.028,91246.0,600300
2016-10-19,6.098,6.138,6.138,6.058,125640.0,600300
2016-10-20,6.138,6.317,6.407,6.108,385144.0,600300
2016-10-21,6.317,6.238,6.367,6.108,153044.0,600300
2016-10-24,6.238,6.267,6.287,6.198,115057.0,600300
2016-10-25,6.257,6.188,6.307,6.178,94484.0,600300
2016-10-26,6.188,6.467,6.626,6.188,420199.0,600300
2016-10-27,6.457,6.576,6.756,6.347,309659.0,600300
2016-10-28,6.566,6.606,6.716,6.497,224237.0,600300
2016-10-31,6.626,6.815,6.845,6.497,263673.0,600300
2016-11-01,6.815,7.194,7.453,6.776,575199.0,600300
2016-11-02,7.104,7.005,7.443,6.975,587188.0,600300
2016-11-03,6.985,7.074,7.264,6.935,295374.0,600300
2016-11-04,7.025,6.935,7.065,6.825,386644.0,600300
2016-11-07,6.865,6.945,6.995,6.786,162201.0,600300
2016-11-08,6.905,6.945,7.035,6.905,164165.0,600300
2016-11-09,6.945,6.955,6.995,6.805,197731.0,600300
2016-11-10,6.975,7.274,7.353,6.975,417619.0,600300
2016-11-11,7.204,7.124,7.314,7.055,295816.0,600300
2016-11-14,7.045,6.965,7.164,6.875,303707.0,600300
2016-11-15,6.875,7.104,7.164,6.835,243891.0,600300
2016-11-16,7.055,7.045,7.144,7.025,106813.0,600300
2016-11-17,7.124,7.055,7.164,7.015,136741.0,600300
2016-11-18,7.055,6.985,7.154,6.965,173451.0,600300
2016-11-21,6.995,7.035,7.114,6.995,105745.0,600300
2016-11-22,7.035,7.144,7.224,7.035,196614.0,600300
2016-11-23,7.174,7.134,7.254,7.055,192548.0,600300
2016-11-24,7.194,7.194,7.204,7.124,175640.0,600300
2016-11-25,7.194,7.583,7.872,7.154,489279.0,600300
2016-11-28,7.593,7.403,7.702,7.274,484696.0,600300
2016-11-29,7.363,7.493,7.762,7.234,472207.0,600300
2016-11-30,7.443,7.393,7.543,7.344,274935.0,600300
2016-12-01,7.453,7.373,7.463,7.284,172022.0,600300
2016-12-02,7.363,7.234,7.413,7.055,270644.0,600300
2016-12-05,7.134,7.254,7.393,7.094,158144.0,600300
2016-12-06,7.344,7.144,7.344,7.124,133356.0,600300
2016-12-07,7.134,7.025,7.174,6.865,255077.0,600300
2016-12-08,7.005,7.055,7.154,6.975,125264.0,600300
2016-12-09,7.055,7.035,7.134,6.995,110549.0,600300
2016-12-12,7.065,6.835,7.104,6.825,162154.0,600300
2016-12-13,6.815,6.905,6.955,6.726,94803.0,600300
2016-12-14,6.905,6.935,7.074,6.786,137267.0,600300
2016-12-15,6.895,7.005,7.094,6.875,133011.0,600300
2016-12-16,6.995,7.025,7.074,6.985,107063.0,600300
2016-12-19,7.035,7.114,7.294,7.035,291001.0,600300
2016-12-20,7.144,7.124,7.214,7.015,107328.0,600300
2016-12-21,7.074,7.124,7.164,7.035,121038.0,600300
2016-12-22,7.124,7.174,7.204,7.065,134412.0,600300
2016-12-23,7.154,7.104,7.234,7.104,78156.0,600300
2016-12-26,7.094,6.945,7.124,6.756,150971.0,600300
2016-12-27,6.935,6.905,6.995,6.835,75153.0,600300
2016-12-28,6.905,6.795,6.965,6.716,148312.0,600300
2016-12-29,6.795,6.636,6.825,6.546,162670.0,600300
2016-12-30,6.626,6.656,6.706,6.576,79199.0,600300
2017-01-03,6.676,6.756,6.776,6.656,59763.0,600300
2017-01-04,6.716,6.756,6.825,6.716,72250.0,600300
2017-01-05,6.766,6.786,6.845,6.746,91547.0,600300
2017-01-06,6.786,6.606,6.786,6.586,111030.0,600300
2017-01-09,6.576,6.786,6.805,6.546,145765.0,600300
2017-01-10,6.815,7.264,7.463,6.776,549362.0,600300
2017-01-11,7.204,7.274,7.314,7.094,237792.0,600300
2017-01-12,7.304,7.204,7.304,7.154,169403.0,600300
2017-01-13,7.224,7.035,7.254,6.985,139604.0,600300
2017-01-16,7.015,6.726,7.134,6.387,166043.0,600300
2017-01-17,6.626,6.805,6.825,6.626,72805.0,600300
2017-01-18,6.766,6.736,6.905,6.726,72858.0,600300
2017-01-19,6.726,6.756,6.855,6.686,62621.0,600300
2017-01-20,6.706,6.766,6.875,6.676,108511.0,600300
2017-01-23,6.766,6.915,6.925,6.766,86020.0,600300
2017-01-24,6.875,6.985,7.045,6.875,99529.0,600300
2017-01-25,6.925,6.945,7.015,6.895,48460.0,600300
2017-01-26,7.015,6.955,7.015,6.925,54746.0,600300
2017-02-03,6.985,6.965,7.005,6.925,45991.0,600300
2017-02-06,6.975,7.194,7.274,6.965,154932.0,600300
2017-02-07,7.264,7.164,7.264,7.074,105829.0,600300
2017-02-08,7.154,7.174,7.194,7.094,78148.0,600300
2017-02-09,7.174,7.184,7.204,7.104,65315.0,600300
2017-02-10,7.174,7.124,7.274,7.114,119313.0,600300
2017-02-13,7.104,7.324,7.413,7.074,205343.0,600300
2017-02-14,7.284,7.274,7.324,7.244,97527.0,600300
2017-02-15,7.274,7.114,7.274,7.074,125857.0,600300
2017-02-16,7.084,7.184,7.184,7.055,68686.0,600300
2017-02-17,7.194,7.114,7.264,7.094,81127.0,600300
2017-02-20,7.134,7.204,7.244,7.104,84412.0,600300
2017-02-21,7.164,7.274,7.284,7.164,138493.0,600300
2017-02-22,7.274,7.363,7.393,7.184,278895.0,600300
2017-02-23,7.304,7.224,7.383,7.184,173237.0,600300
2017-02-24,7.184,7.264,7.274,7.174,90544.0,600300
2017-02-27,7.244,7.065,7.244,7.025,157696.0,600300
2017-02-28,7.055,6.965,7.124,6.945,131389.0,600300
2017-03-01,6.965,6.985,7.045,6.915,84366.0,600300
2017-03-02,7.035,6.875,7.035,6.865,122432.0,600300
2017-03-03,6.855,6.875,6.905,6.776,106448.0,600300
2017-03-06,6.875,6.895,6.935,6.845,100602.0,600300
2017-03-07,6.905,6.945,7.025,6.835,191687.0,600300
2017-03-08,6.915,6.815,6.925,6.805,161563.0,600300
2017-03-09,6.795,6.835,6.865,6.766,87804.0,600300
