date,open,close,high,low,volume
2017-11-30 10:30,4.52,4.5,4.54,4.47,20823.0
2017-11-30 11:30,4.5,4.52,4.54,4.5,11992.0
2017-11-30 14:00,4.52,4.51,4.53,4.49,7674.0
2017-11-30 15:00,4.51,4.52,4.52,4.48,15569.0
2017-12-01 10:30,4.5,4.5,4.51,4.45,22678.0
2017-12-01 11:30,4.5,4.49,4.51,4.49,8507.0
2017-12-01 14:00,4.49,4.51,4.52,4.49,5492.0
2017-12-01 15:00,4.51,4.53,4.54,4.51,18871.0
2017-12-04 10:30,4.53,4.5,4.53,4.47,18293.0
2017-12-04 11:30,4.5,4.51,4.51,4.47,12318.0
2017-12-04 14:00,4.51,4.49,4.51,4.48,8421.0
2017-12-04 15:00,4.49,4.48,4.51,4.47,15658.0
2017-12-05 10:30,4.48,4.47,4.5,4.45,18020.0
2017-12-05 11:30,4.47,4.45,4.48,4.44,13601.0
2017-12-05 14:00,4.45,4.42,4.45,4.4,19274.0
2017-12-05 15:00,4.42,4.41,4.43,4.38,32844.0
2017-12-06 10:30,4.38,4.41,4.42,4.37,12541.0
2017-12-06 11:30,4.41,4.39,4.41,4.38,5253.0
2017-12-06 14:00,4.39,4.41,4.46,4.37,28839.0
2017-12-06 15:00,4.41,4.49,4.5,4.4,34717.0
2017-12-07 10:30,4.49,4.47,4.5,4.47,14336.0
2017-12-07 11:30,4.48,4.53,4.55,4.48,36175.0
2017-12-07 14:00,4.52,4.53,4.54,4.51,7570.0
2017-12-07 15:00,4.53,4.51,4.53,4.49,13983.0
2017-12-08 10:30,4.52,4.53,4.54,4.48,10420.0
2017-12-08 11:30,4.53,4.54,4.56,4.51,18952.0
2017-12-08 14:00,4.54,4.53,4.56,4.53,9867.0
2017-12-08 15:00,4.53,4.54,4.55,4.52,20119.0
2017-12-11 10:30,4.53,4.54,4.55,4.51,17126.0
2017-12-11 11:30,4.54,4.54,4.56,4.53,12861.0
2017-12-11 14:00,4.54,4.56,4.56,4.54,9980.0
2017-12-11 15:00,4.56,4.57,4.57,4.53,30782.0
2017-12-12 10:30,4.56,4.53,4.56,4.51,21815.0
2017-12-12 11:30,4.53,4.51,4.54,4.51,10114.0
2017-12-12 14:00,4.51,4.52,4.55,4.51,9056.0
2017-12-12 15:00,4.52,4.51,4.54,4.5,17677.0
2017-12-13 10:30,4.5,4.48,4.52,4.46,22995.0
2017-12-13 11:30,4.48,4.48,4.5,4.47,6063.0
2017-12-13 14:00,4.48,4.51,4.51,4.47,6538.0
2017-12-13 15:00,4.51,4.52,4.52,4.49,10100.0
2017-12-14 10:30,4.5,4.48,4.51,4.47,12952.0
2017-12-14 11:30,4.48,4.46,4.49,4.4,28415.0
